,lt_bond,rrr
02-2020,1.5,3.75
03-2020,0.87,3.25
04-2020,0.66,2.75
05-2020,0.67,2.75
06-2020,0.73,2.25
07-2020,0.62,2.25
08-2020,0.65,2.25
09-2020,0.68,2.25
10-2020,0.79,2.25
11-2020,0.87,2
12-2020,0.93,2
,,
,,
